user_filter,user_init,item_filter,item_init,bipartite_filter,bipartite_init,recall20,precision20,ndcg20,use_test,timestamp
parametric,gaussian,hermite,smooth,ensemble,golden_036,0.3254,0.2639,0.3822,False,2025-06-12T12:17:50.310769
parametric,gaussian,adaptive_bandstop,smooth,spectral_basis,golden_036,0.3162,0.2555,0.367,False,2025-06-12T12:17:52.620450
parametric,gaussian,hermite,smooth,spectral_basis,band_stop,0.3251,0.2653,0.3828,False,2025-06-12T12:17:55.199140
parametric,gaussian,bernstein,smooth,spectral_basis,golden_036,0.321,0.2602,0.3755,False,2025-06-12T12:17:57.519789
parametric,gaussian,hermite,smooth,golden,golden_036,0.3256,0.2651,0.3825,False,2025-06-12T12:18:00.353718
parametric,gaussian,hermite,notch,spectral_basis,golden_036,0.325,0.2652,0.3826,False,2025-06-12T12:18:02.926634
parametric,gaussian,original,smooth,spectral_basis,golden_036,0.3151,0.2571,0.3707,False,2025-06-12T12:18:04.982460
parametric,gaussian,legendre,smooth,spectral_basis,golden_036,0.3218,0.2606,0.3764,False,2025-06-12T12:18:07.853483
parametric,gaussian,ensemble,smooth,spectral_basis,golden_036,0.3203,0.2596,0.3745,False,2025-06-12T12:18:10.218413
parametric,gaussian,hermite,gaussian,spectral_basis,golden_036,0.325,0.2652,0.3827,False,2025-06-12T12:18:12.795173
parametric,gaussian,hermite,smooth,multiscale,golden_036,0.3222,0.2613,0.3798,False,2025-06-12T12:18:15.406626
parametric,gaussian,enhanced_basis,smooth,spectral_basis,golden_036,0.3186,0.2585,0.3727,False,2025-06-12T12:18:17.701513
parametric,gaussian,jacobi,smooth,spectral_basis,golden_036,0.3218,0.2606,0.3764,False,2025-06-12T12:18:20.534000
parametric,gaussian,hermite,smooth,spectral_basis,notch,0.3251,0.2653,0.3828,False,2025-06-12T12:18:23.111242
parametric,gaussian,hermite,bandpass,spectral_basis,golden_036,0.3251,0.2652,0.3828,False,2025-06-12T12:18:25.703060
parametric,gaussian,chebyshev,smooth,spectral_basis,golden_036,0.3219,0.2604,0.3758,False,2025-06-12T12:18:28.289456
parametric,gaussian,multiscale,smooth,spectral_basis,golden_036,0.3234,0.2625,0.3797,False,2025-06-12T12:18:31.108448
parametric,gaussian,hermite,smooth,bandstop,golden_036,0.3233,0.2627,0.381,False,2025-06-12T12:18:33.402104
parametric,gaussian,hermite,band_stop,spectral_basis,golden_036,0.325,0.2644,0.3822,False,2025-06-12T12:18:36.002612
parametric,gaussian,hermite,smooth,spectral_basis,smooth,0.3252,0.2653,0.3828,False,2025-06-12T12:18:38.588919
parametric,gaussian,golden,smooth,spectral_basis,golden_036,0.3162,0.2581,0.3722,False,2025-06-12T12:18:40.670974
parametric,gaussian,parametric,smooth,spectral_basis,golden_036,0.3223,0.2624,0.379,False,2025-06-12T12:18:42.998918
harmonic,gaussian,hermite,smooth,spectral_basis,golden_036,0.2971,0.248,0.3559,False,2025-06-12T12:18:45.342570
golden,gaussian,hermite,smooth,spectral_basis,golden_036,0.2926,0.2477,0.3515,False,2025-06-12T12:18:47.408760
legendre,gaussian,hermite,smooth,spectral_basis,golden_036,0.3178,0.2599,0.3755,False,2025-06-12T12:18:49.472893
parametric,butterworth,hermite,smooth,spectral_basis,golden_036,0.325,0.2652,0.3827,False,2025-06-12T12:18:52.059395
chebyshev,gaussian,hermite,smooth,spectral_basis,golden_036,0.317,0.2598,0.3748,False,2025-06-12T12:18:54.135350
