u_eigen,i_eigen,b_eigen,ndcg,recall,precision
110,300,400,0.30547328915101907,0.15469750840401078,0.25010893246187366
10,300,350,0.3050703575370338,0.16049653951543874,0.2503267973856209
35,300,275,0.2999520737180848,0.15570607274970236,0.24389978213507627
135,300,250,0.2980206868923561,0.15200458885228132,0.2445533769063181
60,300,250,0.29778142849296796,0.15414257034544487,0.24357298474945532
85,300,225,0.29758776398387843,0.155551664817133,0.24498910675381264
110,300,225,0.2975373942505875,0.15373748682966745,0.24270152505446624
35,300,300,0.29240468794618857,0.15078857733671544,0.23714596949891067
110,300,250,0.29103221759298187,0.14785840672449396,0.23736383442265796
135,300,275,0.29052340172617397,0.14593328361209706,0.23736383442265796
85,300,250,0.28969619722474654,0.1493002412640115,0.2380174291938998
35,300,375,0.28820878499356767,0.14747764136318398,0.23562091503267976
35,300,325,0.28786817231724676,0.14817168674336437,0.23540305010893245
35,300,350,0.28642427058777253,0.14512450398305723,0.23420479302832245
60,300,275,0.286194043791635,0.14752400132931834,0.23485838779956428
110,300,275,0.2829464538380554,0.1423540973134988,0.23006535947712417
135,300,300,0.2815938102112181,0.140505866175471,0.22962962962962966
85,300,275,0.2805210960972276,0.14318946191151327,0.22962962962962966
135,300,325,0.2772005284808427,0.13693132426499596,0.22592592592592592
135,300,375,0.27659707855998467,0.13925731634099606,0.22668845315904138
60,300,300,0.2763578221885844,0.14319705220822038,0.2278867102396514
135,300,350,0.27492280144059406,0.1371227662056674,0.22472766884531592
60,300,375,0.2745847461815603,0.13866309627231088,0.225599128540305
110,300,300,0.27435233746654697,0.1376713413380709,0.22483660130718955
60,300,350,0.273305711358304,0.1376904107825351,0.22494553376906318
60,300,325,0.2715804031233835,0.13730272475544486,0.22342047930283224
85,300,300,0.27072153111216696,0.13624599487763683,0.22287581699346404
110,300,325,0.2697754691282732,0.1349550359803094,0.22058823529411764
110,300,350,0.26844903169059403,0.13495734543163743,0.2196078431372549
85,300,375,0.2681238375129365,0.13498440625020192,0.2208061002178649
110,300,375,0.26811834032434806,0.1350528830163463,0.21764705882352942
85,300,350,0.2665894717012913,0.1326829283049863,0.219281045751634
85,300,325,0.26526271997422285,0.13297205713334964,0.2187363834422658
135,50,400,0.1767481140712518,0.08734482464116788,0.14422657952069717
10,50,400,0.17421144691916507,0.08820117487626485,0.1425925925925926
135,75,400,0.1650072022508575,0.0812270472675572,0.13333333333333333
35,50,400,0.16331802310863713,0.08207542590004309,0.134640522875817
110,50,400,0.16289063947830515,0.0799248432680178,0.13355119825708062
60,50,400,0.15603009821041328,0.0768718430894861,0.13191721132897602
135,100,400,0.15465646663556898,0.07740120366551145,0.1233115468409586
85,50,400,0.15456929268064482,0.07560087317783232,0.129520697167756
10,75,400,0.15383857845022905,0.07978897456163082,0.1259259259259259
110,75,400,0.15193275189998615,0.07635188234462811,0.12483660130718954
135,50,75,0.1500796945267502,0.07729988284273888,0.11655773420479303
135,50,100,0.14924454103206355,0.0764470452418106,0.11666666666666665
35,75,400,0.14749747661462592,0.07063621847369579,0.11971677559912855
135,275,400,0.14736975118213055,0.07349879644179677,0.11579520697167756
135,50,50,0.14652209505242544,0.0770138310099619,0.11459694989106754
135,50,125,0.1438361019643279,0.07161885959307422,0.11285403050108932
85,75,400,0.14244604084717857,0.06526174667116644,0.11633986928104575
135,50,150,0.14223403125281778,0.07185238396755371,0.11318082788671024
60,75,400,0.14172035324672566,0.0666677991290397,0.11764705882352941
110,100,400,0.1412265014805631,0.07105006501450503,0.11470588235294117
135,125,400,0.14047304054830886,0.07090715576688712,0.11470588235294117
110,275,400,0.1380746791081203,0.06849241931653623,0.11013071895424836
135,50,175,0.13800266368461694,0.06960234973328984,0.10969498910675382
85,275,400,0.13377851667801355,0.06706355987201118,0.1065359477124183
85,100,400,0.1323855023597161,0.06206418685500631,0.10751633986928105
135,50,200,0.13212778487611565,0.06640378532885198,0.10686274509803921
135,150,400,0.13167816119949435,0.06486527740836505,0.10849673202614378
10,100,400,0.1311847238723278,0.06823047885378572,0.1056644880174292
35,100,400,0.13115775128150947,0.06424695892364672,0.10490196078431373
135,50,375,0.13060694272355272,0.06467551262853415,0.10675381263616558
35,275,400,0.12986692928855703,0.06631463787643929,0.10130718954248366
10,275,400,0.12986320095682513,0.07051346262159584,0.10403050108932461
135,75,100,0.1296873562419473,0.06659281348243523,0.09912854030501089
60,275,400,0.1291490572433908,0.06503715565877069,0.10196078431372549
60,100,400,0.1291417439392821,0.06143156883478882,0.10588235294117647
135,50,225,0.12854811301996563,0.06518813281650826,0.10555555555555556
135,250,400,0.12764957090160986,0.06320619900917597,0.10305010893246187
110,125,400,0.1275544497644576,0.06152284733962379,0.10479302832244008
135,75,150,0.1272682085601368,0.06464356796353307,0.1003267973856209
