u_eigen,i_eigen,b_eigen,ndcg,recall,precision
135,275,175,0.08184822782551754,0.11390190967422215,0.03405452475048563
35,275,400,0.0818213502653563,0.11396106898744475,0.03405954852970728
135,275,125,0.08181242403574258,0.11376781470627376,0.034021032889007964
135,275,150,0.08180473359287521,0.1138125607644841,0.0340377788197468
135,275,100,0.08177378053296736,0.11375354748484362,0.0340294058543774
10,275,400,0.08173532934022185,0.11387142955637855,0.034027731261303505
135,275,75,0.08173177929406812,0.11366812922422814,0.03400261236519527
110,275,375,0.08172597829384189,0.11360763117325871,0.03394232701453547
135,275,50,0.08168254835855224,0.11364960617396033,0.03398586643445643
110,275,350,0.08158149798339649,0.11348297348550608,0.03387534329158015
110,275,325,0.08138743926239747,0.11323574065670151,0.0338117087547726
110,275,300,0.08138244946478752,0.11325041755228658,0.03381505794092036
110,275,275,0.08135438998714228,0.11325996121175484,0.033825105499363656
110,275,250,0.08132965858638035,0.11321445105403614,0.033818407127068136
85,275,375,0.0813218493360258,0.11312403658639844,0.033784915265590465
110,275,225,0.0812964780580124,0.11320163003974668,0.03382008172014202
60,275,375,0.0812781299417145,0.1131214419675895,0.03377821689329493
110,275,200,0.08121973004186996,0.1131277148479348,0.033794962824033756
85,275,350,0.08118079786893319,0.11299875593832268,0.03373467747337398
110,275,175,0.08115363501475886,0.11311307571506898,0.0337815660794427
35,275,375,0.08114110519769453,0.11302711708079534,0.03374472503181728
110,275,150,0.08113568608333369,0.11307192121561689,0.033781566079442694
60,275,350,0.08112669166267855,0.1130356649758401,0.03373970125259561
110,275,125,0.08110019306617576,0.1129648122249717,0.033763145555629974
110,275,100,0.08108168618455093,0.11302456197745621,0.03377821689329493
10,275,375,0.08107156583332811,0.11299630071719059,0.03374472503181728
110,275,75,0.08106729691087465,0.11303864969165552,0.03378826445173823
85,275,325,0.08105220523566785,0.11290415146051411,0.03369951101882241
85,275,300,0.081027859332114,0.11288728142737879,0.033699511018822424
85,275,275,0.08101512966404928,0.11292824917908878,0.033711233170339604
85,275,250,0.08100025764869229,0.11296813356558803,0.033714582356487374
35,275,350,0.08099193572934725,0.11290478936425778,0.03370453479804409
60,275,325,0.08095719420105808,0.11284092651693815,0.033697836425748556
85,275,225,0.08095185567441171,0.11289871734176087,0.033714582356487374
110,275,50,0.08094333795052346,0.11290917968746096,0.03374974881103891
85,275,200,0.08088952717069967,0.11284663677904337,0.033701185611896306
10,275,350,0.08088020308317483,0.11286580586400904,0.03368611427423137
60,275,300,0.08087900121615316,0.11265944622185123,0.03365429700582759
85,275,175,0.08083667983532006,0.11284353134831741,0.03368443968115749
60,275,275,0.08083510729903921,0.11262843963120743,0.03364424944738428
60,275,250,0.0808330275737708,0.11269115690607444,0.033657646191975345
35,275,325,0.08081810443361023,0.11273295527023022,0.033674392122714183
60,275,225,0.08080025165054201,0.11267425254454938,0.033662669971197004
85,275,150,0.08079440481858964,0.11268194604521749,0.03366434456427088
85,275,125,0.08078384509334138,0.112700161936036,0.03366266997119701
85,275,100,0.08075683279157897,0.11272227809330367,0.033652622412753685
60,275,200,0.08074374696437488,0.11260024037850316,0.03364759863353206
10,275,325,0.0807404888281996,0.11271330837564843,0.03366434456427088
35,275,300,0.08073010845846912,0.11254032990503324,0.03362415433049769
85,275,75,0.08070091463246276,0.11272461089631923,0.033652622412753706
35,275,275,0.08068944996164873,0.11254555133180986,0.033624154330497695
10,275,300,0.08066015659549398,0.11258596633085204,0.03362582892357157
